surname,first_names,age,boarded,class,survivor_victim,lifeboat_number
Parrish,Mrs Lutie Davis,59,Southampton,2nd,NA,12
Peñasco Y Castellana,Mrs Maria Josefa Perezde Soto y Vallejo,22,Cherbourg,1st,NA,8
Pears,Mrs Edith,22,Southampton,1st,NA,8
Perreault,Miss Mary Anne (Maid to Mrs Charles Melville Hays),33,Southampton,1st,NA,3
Persson,Mr Ernst Ulrik,25,Southampton,3rd,NA,15
Peter/Joseph,Master Michael J.,4,Cherbourg,3rd,NA,D
Peter/Joseph,Miss Anna,2,Cherbourg,3rd,NA,C
Peuchen,Major Arthur Godfrey,52,Southampton,1st,NA,6
Phillips,Miss Alice Frances Louisa,21,Southampton,2nd,NA,12
Phillips,Miss Kate Florence,19,Southampton,2nd,NA,11
Picard,Mr Benoît,32,Southampton,3rd,NA,9
Pinsky,Mrs Rosa,32,Southampton,2nd,NA,9
Portaluppi,Mr Emilio Ilario Giuseppe,30,Cherbourg,2nd,NA,14
Potter,Mrs Lily Alexenia,56,Cherbourg,1st,NA,7
Quick,Mrs Jane,33,Southampton,2nd,NA,11
Quick,Miss Winifred Vera,8,Southampton,2nd,NA,11
Quick,Miss Phyllis May,2,Southampton,2nd,NA,11
Reynalds,Señora Encarnación,28,Southampton,2nd,NA,9
Rheims,Mr George Alexander Lucien,33,Cherbourg,1st,NA,A
Richards,Mrs Emily,24,Southampton,2nd,NA,4
Richards,Master Sibley George,9m,Southampton,2nd,NA,4
Richards,Master William Rowe,3,Southampton,2nd,NA,4
Ridsdale,Miss Lucy,58,Southampton,2nd,NA,13
Riordan,Miss Hannah,18,Queenstown,3rd,NA,13
Robert,Mrs Elisabeth Walton,43,Southampton,1st,NA,2
Romaine,Mr Charles Hallace,45,Southampton,1st,NA,9
Rosenbaum,Miss Edith Louise,33,Cherbourg,1st,NA,11
Roth,Miss Sarah,31,Southampton,3rd,NA,C
Rothes,"Lucy Noël Martha, Countess of",33,Southampton,1st,NA,8
Rothschild,Mrs Elizabeth Jane Anne,54,Cherbourg,1st,NA,6
Rugg,Miss Emily,21,Southampton,2nd,NA,12
Ryan,Mr Edward,24,Queenstown,3rd,NA,14
Ryerson,Mrs Emily Maria,48,Cherbourg,1st,NA,4
Ryerson,Miss Susan Parker “Suzette”,21,Cherbourg,1st,NA,4
Ryerson,Miss Emily Borie,18,Cherbourg,1st,NA,4
Ryerson,Master John Borie,13,Cherbourg,1st,NA,4
Sägesser,Mlle Emma (Maid to Mme. Léontine Pauline Aubart),24,Cherbourg,1st,NA,9
Saalfeld,Mr Adolphe,47,Southampton,1st,NA,3
Salkjelsvik,Miss Anna Kristine,21,Southampton,3rd,NA,C
Salomon,Mr Abraham Lincoln,43,Cherbourg,1st,NA,1
Sandström,Mrs Agnes Charlotta,24,Southampton,3rd,NA,13
Sandström,Miss Marguerite Rut,4,Southampton,3rd,NA,13
Sandström,Miss Beatrice Irene,1,Southampton,3rd,NA,13
Sap,Mr Julius,21,Southampton,3rd,NA,11
Schabert,Mrs Emma,35,Cherbourg,1st,NA,11
Scheerlinck,Mr Jean,29,Southampton,3rd,NA,11
Serreplan,Miss Auguste (Maid to Mrs William Carter),30,Southampton,1st,NA,4
Seward,Mr Frederic Kimber,34,Southampton,1st,NA,7
Shelley,Mrs Imanita Parrish,25,Southampton,2nd,NA,12
Shutes,Miss Elizabeth Weed (Governess to Miss Margaret Edith Graham),40,Southampton,1st,NA,3
Silvén,Miss Lyyli Karoliina,17,Southampton,2nd,NA,16
Silverthorne,Mr Spencer Victor,35,Southampton,1st,NA,5
Silvey,Mrs Alice Gray,39,Cherbourg,1st,NA,11
Simonius-Blumer,Mr Colonel (Oberst) Alfons,56,Southampton,1st,NA,3
Sincock,Miss Maude,20,Southampton,2nd,NA,11
Sinkkonen,Miss Anna,29,Southampton,2nd,NA,10
Sjöblom,Miss Anna Sofia,18,Southampton,3rd,NA,16
Slayter,Miss Hilda Mary,30,Queenstown,2nd,NA,13
Sloper,Mr William Thompson,28,Southampton,1st,NA,7
Smith,Miss Marion Elsie,39,Southampton,2nd,NA,9
Smith,Mrs Mary Eloise,18,Cherbourg,1st,NA,6
Smyth,Miss Julia,17,Queenstown,3rd,NA,13
Snyder,Mr John Pillsbury,24,Southampton,1st,NA,7
Snyder,Mrs Nelle,23,Southampton,1st,NA,7
Spedden,Mr Frederic Oakley,45,Cherbourg,1st,NA,3
Spedden,Mrs Margaretta Corning “Daisy”,39,Cherbourg,1st,NA,3
Spedden,Master Robert Douglas,6,Cherbourg,1st,NA,3
Spencer,Mrs Marie Eugenie,45,Cherbourg,1st,NA,6
Stähelin-Maeglin,Dr Max,32,Southampton,1st,NA,3
Stanley,Miss Amy Zillah Elsie,24,Southampton,3rd,NA,C
Stengel,Mr Charles Emil Henry,54,Cherbourg,1st,NA,1
Stengel,Mrs Annie May,44,Cherbourg,1st,NA,5
Stephenson,Mrs Martha,52,Cherbourg,1st,NA,4
Stone,Mrs Martha Evelyn,62,Southampton,1st,NA,6
Strandén,Mr Juho Niilosson,31,Southampton,3rd,NA,9
Sunderland,Mr Victor Francis,20,Southampton,3rd,NA,B
Sundman,Mr Johan Julian,44,Southampton,3rd,NA,15
Svensson,Mr Johan Cervin,14,Southampton,3rd,NA,13
Swift,Mrs Margaret Welles,46,Southampton,1st,NA,8
Törnquist,Mr William Henry,25,Southampton,3rd,NA,15
Tannūs,Mrs Tham īn,16,Cherbourg,3rd,NA,14
Tannūs,Master As’ad,5m,Cherbourg,3rd,NA,16
Taussig,Mrs Tillie,39,Southampton,1st,NA,8
Taussig,Miss Ruth,18,Southampton,1st,NA,8
Taylor,Mrs Juliet Cummins,49,Southampton,1st,NA,5
Taylor,Mr Elmer Zebley,48,Southampton,1st,NA,5
Tenglin,Mr Gunnar Isidor,25,Southampton,3rd,NA,13
Thayer,Mrs Marian Longstreth,39,Cherbourg,1st,NA,4
Thayer,Mr John Borland Jr,17,Cherbourg,1st,NA,B
Thorne,Miss Gertrude Maybelle,38,Cherbourg,1st,NA,D
Thorneycroft,Mrs Florence Kate,32,Southampton,3rd,NA,10
Toomey,Miss Ellen Mary,48,Southampton,2nd,NA,9
Trout,Mrs Jessie Laird,27,Southampton,2nd,NA,9
Troutt,Miss Edwina Celia,27,Southampton,2nd,NA,16
Tucker,Mr Gilbert Milligan Jr,31,Cherbourg,1st,NA,7
Tu’Mah,Mrs Hinnah,27,Cherbourg,3rd,NA,C
Tu’Mah,Miss Mariyam,9,Cherbourg,3rd,NA,C
Tu’Mah,Master Jirjis Yūsuf,8,Cherbourg,3rd,NA,C
Turja,Miss Anna Sofia,18,Southampton,3rd,NA,15
Turkula,Mrs Hedwig,63,Southampton,3rd,NA,15
Wallcroft,Miss Ellen “Nellie”,36,Southampton,2nd,NA,14
Ward,Miss Annie Moore (Maid to Mrs Charlotte Cardeza),35,Cherbourg,1st,NA,3
Ware,Mrs Florence Louise,31,Southampton,2nd,NA,10
Warren,Mrs Anna Sophia,60,Cherbourg,1st,NA,5
Watt,Mrs Elizabeth,40,Southampton,2nd,NA,9
Watt,Miss Robertha Josephine,12,Southampton,2nd,NA,9
Webber,Miss Susan,37,Southampton,2nd,NA,12
Weisz,Mrs Mathilde Françoise,37,Southampton,2nd,NA,10
Wells,Mrs Addie Dart,29,Southampton,2nd,NA,14
Wells,Miss Joan,4,Southampton,2nd,NA,14
Wells,Master Ralph Lester,2,Southampton,2nd,NA,14
Wennerström,Mr August,27,Southampton,3rd,NA,A
West,Mrs Ada Mary,33,Southampton,2nd,NA,10
West,Miss Barbara Joyce,10m,Southampton,2nd,NA,10
West,Miss Constance Mirium,4,Southampton,2nd,NA,10
Whilems,Mr Charles,31,Southampton,2nd,NA,9
White,Mrs Ella,55,Cherbourg,1st,NA,8
Wick,Mrs Mary Peebles,45,Southampton,1st,NA,8
Wick,Miss Mary Natalie,31,Southampton,1st,NA,8
Widener,Mrs Eleanor,50,Southampton,1st,NA,4
Wilkes,Mrs Ellen,47,Southampton,3rd,NA,16
Wilkinson,Mrs Elizabeth Anne,35,Southampton,2nd,NA,16
Willard,Miss Constance,21,Southampton,1st,NA,8
Williams,Mr Charles Eugene,23,Southampton,2nd,NA,14
Williams,Mr Richard Norris II,21,Cherbourg,1st,NA,A
Wilson,Miss Helen Alice (Maid to Mrs Frederic Oakley Spedden),31,Cherbourg,1st,NA,3
Woolner,Mr Hugh,45,Southampton,1st,NA,D
Wright,Miss Marion,26,Southampton,2nd,NA,9
Yūsuf,Mrs Kātr īn,24,Cherbourg,3rd,NA,C
Yasbeck,Mr Antoni,27,Cherbourg,3rd,NA,C
Young,Miss Marie Grice,36,Cherbourg,1st,NA,8
Zenni,Mr Philip,22,Cherbourg,3rd,NA,6
